Disease 1,Disease 2,Prevalence (%)
Hypertension,Hyperlipidemia,30.8
Hypertension,Arthritis,7.6
Hypertension,Diabetes,7.5
Hypertension,HIV,4.8
Hypertension,Ischemic Heart Disease,3.7
Diabetes,Arthritis,2.5
Dyslipidemia,Hyperuricemia,26.2
Dyslipidemia,Hypertension,24.9
Depression,Hypertension,57.9
Depression,Arthritis,55.6
Depression,Diabetes,23.2
Depression,COPD/Asthma,23.3
Depression,Heart Disease,27.6
Dementia,Hypertension,37.1
Osteoarthritis,Hypertension,19.8
Diabetes Mellitus,Stroke,2.9
Cancer,Depression,10.9
Cancer,Diabetes,2.7
Hypertension,Musculoskeletal Disease,11.5
Hypertension,Diabetes & Arthritis,11.5
Hypertension,High Cholesterol,12.4
Hypertension,Arthritis,9.6
Hypertension,Diabetes,6.6
Hypertension,Heart Disease,6.1
Hypertension,Cancer,5.3
Hypertension,Asthma,4.5
Hypertension,COPD,3.8
Hypertension,Stroke,2.7
Hypertension,Kidney Disease,2.6
Hypertension,Depression,7.5
High Cholesterol,Arthritis,7.9
High Cholesterol,Diabetes,5.7
High Cholesterol,Heart Disease,5.4
High Cholesterol,Cancer,4.1
High Cholesterol,Asthma,3.5
High Cholesterol,COPD,2.3
High Cholesterol,Stroke,1.7
High Cholesterol,Kidney Disease,1.6
High Cholesterol,Depression,4.8
Arthritis,Diabetes,3.8
Arthritis,Heart Disease,6.7
Arthritis,Cancer,4.3
Arthritis,Asthma,4.3
Arthritis,COPD,2.7
Arthritis,Stroke,2.2
Arthritis,Kidney Disease,2.0
Arthritis,Depression,6.2
Diabetes,Heart Disease,3.6
Diabetes,Cancer,2.6
Diabetes,Asthma,1.9
Diabetes,COPD,1.6
Diabetes,Stroke,1.7
Diabetes,Kidney Disease,1.8
Diabetes,Depression,5.1
Heart Disease,Cancer,3.3
Heart Disease,Asthma,2.0
Heart Disease,COPD,2.4
Heart Disease,Stroke,2.7
Heart Disease,Kidney Disease,2.3
Heart Disease,Depression,4.2
Cancer,Asthma,1.7
Cancer,COPD,1.4
Cancer,Stroke,1.2
Cancer,Kidney Disease,1.3
Cancer,Depression,3.5
Asthma,COPD,1.5
Asthma,Stroke,0.9
Asthma,Kidney Disease,0.8
Asthma,Depression,2.8
COPD,Stroke,0.9
COPD,Kidney Disease,0.8
COPD,Depression,2.5
Stroke,Kidney Disease,0.7
Stroke,Depression,1.4
Kidney Disease,Depression,1.1
Hypertension,Obesity,0
Hypertension,Depression,0
Hypertension,Pain,0
Diabetes,Obesity,0
Diabetes,Depression,0
Diabetes,Pain,0
Diabetes,COPD,0
Heart Disease,Obesity,0
Heart Disease,Depression,0
Heart Disease,Pain,0
Heart Disease,COPD,0
Heart Disease,Stroke,0
Heart Disease,Cancer,0
Cancer,Obesity,0
Cancer,Depression,0
Cancer,Pain,0
Cancer,COPD,0
Cancer,Stroke,0
Asthma,Obesity,0
Asthma,Depression,0
Asthma,Pain,0
