Disease1,Disease2,pol,per
Acne,Dermatitis Skin,0.33,2.559723
Acne,Allergy/chronic Rhinitis Respiratory,0.24,1.874962
Acne,Bronchial Asthma Respiratory,0.21,1.641028
Acne,Depression Psychiatric,0.21,1.616263
Acne,Anxiety Psychiatric,0.17,1.318700
Acne,Enthesopathy Musculoskeletal,0.13,1.022066
Acne,Migraine Neurological,0.12,0.902400
Acne,Obesity Endocrine,0.11,0.872187
Acne,Menorrhagia Genitourinary,0.11,0.818345
Acne,Irritable Bowel Syndrome Digestive,0.09,0.712081
AIDS,Depression Psychiatric,0.28,0.024739
AIDS,Infection Other organs Infections,0.26,0.023241
AIDS,Dermatitis Skin,0.21,0.018696
AIDS,Raised Total Cholesterol Endocrine,0.17,0.015184
AIDS,Bacterial Infection Infections,0.16,0.014590
AIDS,Hypertension Cardiovascular,0.16,0.014539
AIDS,Obesity Endocrine,0.16,0.014255
AIDS,Anxiety Psychiatric,0.15,0.013480
AIDS,Allergy/chronic Rhinitis Respiratory,0.15,0.013325
AIDS,Bronchial Asthma Respiratory,0.13,0.011724
Hepatitis,Infection Liver Infections,0.55,0.129298
Hepatitis,Depression Psychiatric,0.38,0.090150
Hepatitis,Substance Misuse Psychiatric,0.35,0.082712
Hepatitis,Bacterial Infection Infections,0.24,0.057741
Hepatitis,Anxiety Psychiatric,0.24,0.057070
Hepatitis,Alcohol Misuse Psychiatric,0.23,0.055081
Hepatitis,Dermatitis Skin,0.22,0.051105
Hepatitis,Hypertension Cardiovascular,0.20,0.047463
Hepatitis,Obesity Endocrine,0.19,0.044829
Hepatitis,Bronchial Asthma Respiratory,0.19,0.044623
Allergy,Dermatitis Skin,0.39,5.699724
Allergy,Bronchial Asthma Respiratory,0.32,4.633112
Allergy,Raised Total Cholesterol Endocrine,0.25,3.664604
Allergy,Enthesopathy Musculoskeletal,0.23,3.426693
Allergy,Depression Psychiatric,0.22,3.302301
Allergy,Obesity Endocrine,0.19,2.796782
Allergy,Hypertension Cardiovascular,0.19,2.734082
Allergy,Anxiety Psychiatric,0.18,2.642022
Allergy,Raised LDL Endocrine,0.16,2.420767
Allergy,Osteoarthristis Musculoskeletal,0.13,1.941096
Osteoarthristis,Hypertension Cardiovascular,0.56,6.038759
Osteoarthristis,Raised Total Cholesterol Endocrine,0.56,6.010121
Osteoarthristis,Enthesopathy Musculoskeletal,0.43,4.645353
Osteoarthristis,Obesity Endocrine,0.37,3.971283
Osteoarthristis,Raised LDL Endocrine,0.35,3.719453
Osteoarthristis,Dermatitis Skin,0.31,3.315110
Osteoarthristis,Depression Psychiatric,0.29,3.114307
Osteoarthristis,Raised Triglycerides Endocrine,0.28,3.015558
Osteoarthristis,Cataract Eye,0.24,2.545933
Osteoarthristis,Bacterial Infection Infections,0.23,2.487262
Bronchial Asthma,Dermatitis Skin,0.37,5.589741
Bronchial Asthma,Allergy/chronic Rhinitis Respiratory,0.31,4.633112
Bronchial Asthma,Depression Psychiatric,0.24,3.578690
Bronchial Asthma,Raised Total Cholesterol Endocrine,0.22,3.322650
Bronchial Asthma,Obesity Endocrine,0.22,3.252720
Bronchial Asthma,Enthesopathy Musculoskeletal,0.20,3.035287
Bronchial Asthma,Hypertension Cardiovascular,0.19,2.885072
Bronchial Asthma,Anxiety Psychiatric,0.18,2.615759
Bronchial Asthma,Infection Other organisms Infections,0.16,2.423297
Bronchial Asthma,Raised LDL Endocrine,0.14,2.095107
Cervical spondylosis,Raised Total Cholesterol Endocrine,0.58,2.218440
Cervical spondylosis,Hypertension Cardiovascular,0.56,2.148303
