"No.","Disease 1","Disease 2","Disease 3","Prevalence (%)","Reference Link"
"1","Hypertension","Ischemic Heart Disease","Cerebrovascular Disease","12.76","https://www.nature.com/articles/s41598-023-46227-4"
"2","Diabetes","Hypertension","Ischemic Heart Disease","9.81","https://www.nature.com/articles/s41598-023-46227-4"
"3","Dyslipidemia","Hyperuricemia","Hypertension","8.9","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1163791/full"
"4","Dyslipidemia","Hypertension","Diabetes","7.8","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1163791/full"
"5","Dyslipidemia","Hyperuricemia","Diabetes","7.2","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1163791/full"
"6","Diabetes","Hyperuricemia","Gout","6.6","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1163791/full"
"7","Hypertension","Hyperuricemia","Coronary Heart Disease","3.4","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1163791/full"
"8","Dyslipidemia","Hyperuricemia","Gout","2.95","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1163791/full"
"9","CCVD (Cardiocerebrovascular Disease)","Osteoarthropathy","Hypertension","2.0","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1349418/full"
"10","Hypertension","Diabetes","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"11","Hypertension","Hyperlipidemia","Diabetes","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"12","Hypertension","Hyperlipidemia","Arthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"13","Hypertension","Diabetes","Arthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"14","Hypertension","Arthritis","Cardiovascular Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"15","Diabetes","Arthritis","Cardiovascular Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"16","Diabetes","Arthritis","Asthma/COPD","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"17","Hypertension","Hyperlipidemia","Asthma/COPD","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"18","Diabetes","Hypertension","Asthma/COPD","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"19","Hypertension","Asthma/COPD","Cardiovascular Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"20","Hypertension","Cardiovascular Disease","Chronic Kidney Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"21","Hypertension","Diabetes","Chronic Kidney Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"22","Hypertension","Hyperlipidemia","Chronic Kidney Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"23","Hypertension","Diabetes","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"24","Hypertension","Hyperlipidemia","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"25","Hypertension","Arthritis","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"26","Diabetes","Arthritis","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"27","Hypertension","Asthma/COPD","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"28","Diabetes","Asthma/COPD","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"29","Hypertension","Cardiovascular Disease","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"30","Hypertension","Arthritis","Asthma/COPD","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"31","Hypertension","Asthma/COPD","Chronic Kidney Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"32","Diabetes","Asthma/COPD","Chronic Kidney Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"33","Hypertension","Cardiovascular Disease","Asthma/COPD","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"34","Hypertension","Arthritis","Chronic Kidney Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"35","Diabetes","Arthritis","Chronic Kidney Disease","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"36","Hypertension","Hyperlipidemia","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"37","Hypertension","Diabetes","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"38","Hypertension","Arthritis","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"39","Diabetes","Arthritis","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"40","Hypertension","Asthma/COPD","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"41","Diabetes","Asthma/COPD","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"42","Hypertension","Cardiovascular Disease","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"43","Hypertension","Hyperlipidemia","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"44","Hypertension","Diabetes","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"45","Hypertension","Arthritis","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"46","Diabetes","Arthritis","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"47","Hypertension","Asthma/COPD","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"48","Diabetes","Asthma/COPD","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"49","Hypertension","Cardiovascular Disease","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"50","Diabetes","Cardiovascular Disease","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"51","Hypertension","Hyperlipidemia","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"52","Hypertension","Diabetes","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"53","Hypertension","Arthritis","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"54","Diabetes","Arthritis","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"55","Hypertension","Asthma/COPD","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"56","Diabetes","Asthma/COPD","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"57","Hypertension","Cardiovascular Disease","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"58","Diabetes","Cardiovascular Disease","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"59","Hypertension","Hyperlipidemia","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"60","Hypertension","Diabetes","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"61","Hypertension","Arthritis","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"62","Diabetes","Arthritis","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"63","Hypertension","Asthma/COPD","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"64","Diabetes","Asthma/COPD","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"65","Hypertension","Cardiovascular Disease","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
