"No.","Disease 1","Disease 2","Prevalence (%)","Reference"
"1","Hypertension","Osteoarthritis","19.8 – 20.1","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1349418/full"
"2","Hypertension","Coronary artery disease","14.9","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"3","Hypertension","Diabetes mellitus","12.0 – 14.0","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1349418/full"
"4","Hypertension","Stroke","2.9","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"5","Hypertension","Cancer","10.6","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"6","Hypertension","Dementia","5.5","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"7","Depression","Hypertension","16.7 – 57.9*","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"8","Depression","Arthritis","55.6*","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"9","Depression","Diabetes mellitus","23.2*","https://www.medrxiv.org/content/10.1101/2021.12.31.21268568v1.full.pdf"
"10","Depression","COPD/Asthma","23.3*","https://www.emjreviews.com/wp-content/uploads/2022/03/Comorbidity-of-Anxiety-and-Depression-with-Hypertension-Diabetes-and-Cardiovascular-Disease-A-Selecti-1.pdf"
"11","Depression","Cancer","10.9*","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"12","Depression","Heart disease","27.6*","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"13","Diabetes mellitus","Stroke","2.9","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"14","Diabetes mellitus","Cancer","2.7","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"15","Dementia","Hypertension","37.1","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"16","Dementia","Stroke","16.4","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"17","Osteoarthritis","Hypertension","19.8","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"18","Heart disease","Depression","16.6","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"19","Hypertension","Visual impairment","7.3","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1349418/full"
"20","Diabetes mellitus","Depression","8 – 44","https://www.medrxiv.org/content/10.1101/2021.12.31.21268568v1.full.pdf"
