"No.","Disease 1","Disease 2","Prevalence (%)","Reference URL"
"1","Hypertension","High Cholesterol","12.4","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"2","Hypertension","Arthritis","9.6","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"3","Hypertension","Diabetes","6.6","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"4","Hypertension","Heart Disease","6.1","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"5","Hypertension","Cancer","5.3","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"6","Hypertension","Asthma","4.5","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"7","Hypertension","COPD","3.8","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"8","Hypertension","Stroke","2.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"9","Hypertension","Kidney Disease","2.6","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"10","Hypertension","Depression","7.5","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"11","High Cholesterol","Arthritis","7.9","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"12","High Cholesterol","Diabetes","5.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"13","High Cholesterol","Heart Disease","5.4","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"14","High Cholesterol","Cancer","4.1","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"15","High Cholesterol","Asthma","3.5","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"16","High Cholesterol","COPD","2.3","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"17","High Cholesterol","Stroke","1.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"18","High Cholesterol","Kidney Disease","1.6","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"19","High Cholesterol","Depression","4.8","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"20","Arthritis","Diabetes","3.8","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"21","Arthritis","Heart Disease","6.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"22","Arthritis","Cancer","4.3","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"23","Arthritis","Asthma","4.3","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"24","Arthritis","COPD","2.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"25","Arthritis","Stroke","2.2","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"26","Arthritis","Kidney Disease","2.0","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"27","Arthritis","Depression","6.2","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"28","Diabetes","Heart Disease","3.6","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"29","Diabetes","Cancer","2.6","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"30","Diabetes","Asthma","1.9","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"31","Diabetes","COPD","1.6","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"32","Diabetes","Stroke","1.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"33","Diabetes","Kidney Disease","1.8","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"34","Diabetes","Depression","5.1","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"35","Heart Disease","Cancer","3.3","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"36","Heart Disease","Asthma","2.0","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"37","Heart Disease","COPD","2.4","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"38","Heart Disease","Stroke","2.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"39","Heart Disease","Kidney Disease","2.3","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"40","Heart Disease","Depression","4.2","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"41","Cancer","Asthma","1.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"42","Cancer","COPD","1.4","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"43","Cancer","Stroke","1.2","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"44","Cancer","Kidney Disease","1.3","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"45","Cancer","Depression","3.5","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"46","Asthma","COPD","1.5","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"47","Asthma","Stroke","0.9","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"48","Asthma","Kidney Disease","0.8","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"49","Asthma","Depression","2.8","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"50","COPD","Stroke","0.9","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"51","COPD","Kidney Disease","0.8","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"52","COPD","Depression","2.5","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"53","Stroke","Kidney Disease","0.7","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"54","Stroke","Depression","1.4","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"55","Kidney Disease","Depression","1.1","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"56","Hypertension","Obesity","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"57","Hypertension","Depression","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"58","Hypertension","Pain","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"59","Diabetes","Obesity","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"60","Diabetes","Depression","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"61","Diabetes","Pain","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"62","Diabetes","COPD","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"63","Heart Disease","Obesity","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"64","Heart Disease","Depression","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"65","Heart Disease","Pain","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"66","Heart Disease","COPD","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"67","Heart Disease","Stroke","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"68","Heart Disease","Cancer","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"69","Cancer","Obesity","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"70","Cancer","Depression","","https://www.cdc.gov/pcd/issues/2020/20_0130.htm"
"...","...","...","...","..."
