"Cluster","Prevalence (%)","Data Source"
"Hypertension–Diabetes–Osteoarthritis–Visual Impairment/Overweight","7.3%","https://journals.sagepub.com/doi/10.1177/23333928231178774?icid=int.sj-full-text.citing-articles.130"
"Hypertension–Coronary Artery Disease–Diabetes","9.8–14.9","https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0079641"
"Disease Combination","Population/Study Context","Notable Insights"
"Hypertension + Hyperlipidemia","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Most prevalent combination; often co-treated"
"Diabetes + Hypertension","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Strongly associated; common in cardio-metabolic clusters"
"Arthritis + Hypertension","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Frequently reported, especially in older adults"
"Hypertension + Overweight","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Common dyad in epidemiological studies"
"Cardiovascular Disease + Heart Failure","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Highest lift (co-occurrence much higher than expected)"
"Diabetes + Asthma/COPD + Arthritis","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Triad most associated with perceived poor health"
"Acid Peptic Disease + Arthritis","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Most common dyad among young men"
"Acid Peptic Disease + Hypertension","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Most common dyad among women"
"Hypertension + Chronic Lung Disease/Arthritis/Visual Difficulty","https://journals.sagepub.com/doi/full/10.1177/26335565241258851","Age-related clustering"
"Chronic Kidney Disease + Diabetes + Hypertension","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.953886/full","Classic metabolic syndrome cluster"
"Stroke + Hypertension + Diabetes","https://www.nature.com/articles/s43856-024-00529-4","Found in metabolic and cardiovascular clusters"
"No.","Disease 1","Disease 2","Disease 3","Prevalence (%)","Reference Link"
"101","Hypertension","Diabetes","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"102","Hypertension","Diabetes","COPD","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"103","Hypertension","Diabetes","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"104","Hypertension","Diabetes","Asthma","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"105","Hypertension","Diabetes","Osteoarthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"106","Hypertension","Diabetes","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"107","Hypertension","Diabetes","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"108","Hypertension","Diabetes","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"109","Hypertension","Diabetes","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"110","Hypertension","Diabetes","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"111","Hypertension","COPD","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"112","Hypertension","COPD","Cancer","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"113","Hypertension","COPD","Asthma","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"114","Hypertension","COPD","Osteoarthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"115","Hypertension","COPD","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"116","Hypertension","COPD","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"117","Hypertension","COPD","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"118","Hypertension","COPD","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"119","Hypertension","COPD","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"120","Hypertension","Cancer","Depression","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"121","Hypertension","Cancer","Asthma","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"122","Hypertension","Cancer","Osteoarthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"123","Hypertension","Cancer","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"124","Hypertension","Cancer","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"125","Hypertension","Cancer","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"126","Hypertension","Cancer","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"127","Hypertension","Cancer","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"128","Hypertension","Asthma","Osteoarthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"129","Hypertension","Asthma","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"130","Hypertension","Asthma","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"131","Hypertension","Asthma","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"132","Hypertension","Asthma","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"133","Hypertension","Asthma","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"134","Hypertension","Osteoarthritis","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"135","Hypertension","Osteoarthritis","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"136","Hypertension","Osteoarthritis","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"137","Hypertension","Osteoarthritis","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"138","Hypertension","Osteoarthritis","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"139","Hypertension","Heart Failure","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"140","Hypertension","Heart Failure","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"141","Hypertension","Heart Failure","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"142","Hypertension","Heart Failure","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"143","Hypertension","Chronic Pain","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"144","Hypertension","Chronic Pain","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"145","Hypertension","Chronic Pain","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"146","Hypertension","Anxiety","Stroke","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"147","Hypertension","Anxiety","Obesity","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
